[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	square
-0.000292	-2.609168e-009	-8.268049e-006	-1.085954e-009	3.2953816167479e-005
0.024173	-1.386837e-009	0.083344	-1.891541e-009	4.34918498112e-005
0.048637	-3.8315e-009	0.167097	-3.532967e-009	5.9438766810895e-005
0.073102	-3.8315e-009	0.249741	-4.921215e-009	7.0151372046454e-005
0.097566	1.057748e-009	0.333492	1.06719e-009	3.2667874127344e-005
0.122031	-2.609168e-009	0.416855	-3.315221e-009	5.7577955851176e-005
0.146495	-1.645049e-010	0.499992	1.097057e-010	1.0474048882834e-005
0.195424	-1.645049e-010	0.583965	-5.13459e-010	2.2659633712838e-005
0.219889	2.28e-009	0.666383	-2.995937e-009	5.4735153238116e-005
0.244353	4.724506e-009	0.750246	5.940791e-009	7.7076526906705e-005
0.268818	3.502253e-009	0.834002	5.155545e-009	7.1802123924018e-005
0.293282	-2.609168e-009	0.916852	-3.061848e-009	5.5333967867848e-005
0.317747	-1.645049e-010	1.000211	-1.126494e-009	3.3563283510408e-005
0.366676	-1.386837e-009	1.083629	4.192916e-009	6.4752729672192e-005
0.366676	-2.609168e-009	1.166499	-3.01625e-009	5.4920396939571e-005
0.39114	-2.609168e-009	1.249627	-4.221985e-009	6.4976803553268e-005
0.415605	-1.645049e-010	1.333506	1.856992e-010	1.362714937175e-005
0.440069	-1.645049e-010	1.417262	-1.491266e-009	3.8616913392968e-005
0.464534	3.502253e-009	1.500386	-3.082065e-009	5.5516348943352e-005
0.488999	3.502253e-009	1.583559	5.92564e-009	7.6978178726182e-005
0.537928	3.502253e-009	1.666565	4.344897e-009	6.5915832695946e-005
0.562392	-2.609168e-009	1.74997	-3.340526e-009	5.7797283673197e-005
0.586857	-1.386837e-009	1.833858	-1.278507e-009	3.5756216242774e-005
0.611321	-1.645049e-010	1.917454	3.66611e-009	6.0548410383758e-005
0.635786	-1.386837e-009	2.000143	-2.403255e-009	4.9023004803867e-005
0.66025	-3.8315e-009	2.083343	-5.209958e-009	7.2180038791899e-005
0.684715	2.28e-009	2.166253	1.822018e-009	4.2685102787741e-005
0.709179	-1.645049e-010	2.249794	3.022262e-010	1.7384654152441e-005
0.733644	1.057748e-009	2.333578	-1.511508e-009	3.8878117238364e-005
0.758108	3.502253e-009	2.416604	6.107873e-009	7.8152882224522e-005
0.782573	3.502253e-009	2.500034	6.391518e-009	7.9946969923819e-005
0.807037	-3.8315e-009	2.58312	-3.634293e-009	6.0285097661031e-005
0.831502	-1.386837e-009	2.666469	-1.531773e-009	3.9137871684597e-005
0.855966	-1.645049e-010	2.750326	5.114974e-009	7.1519046414225e-005
0.904895	-2.609168e-009	2.833519	-4.1719e-010	2.0425229496875e-005
0.92936	-3.8315e-009	2.916292	-1.653352e-009	4.0661431357e-005
0.953824	1.057748e-009	3.000298	6.731103e-009	8.2043299543595e-005
0.978289	-1.645049e-010	3.083093	6.553469e-009	8.0953498997881e-005
1.002753	3.502253e-009	3.166719	8.610697e-009	9.2793841390472e-005
1.027218	4.724506e-009	3.249969	2.191439e-008	0.00014803509718982
1.051682	-1.645049e-010	3.333442	2.1311e-008	0.00014598287570808
1.076147	-1.386837e-009	3.416487	2.651887e-008	0.00016284615439119
1.100611	2.28e-009	3.500242	4.141804e-008	0.00020351422554701
1.125076	-1.386837e-009	3.583895	5.53648e-008	0.00023529725880256
1.14954	-3.8315e-009	3.666462	5.69408e-008	0.00023862271476119
1.174005	-2.609168e-009	3.750116	7.303061e-008	0.00027024176213161
1.222934	-1.645049e-010	3.834237	9.131043e-008	0.00030217615723283
1.247398	-1.386837e-009	3.916542	1.096895e-007	0.00033119405187896
1.271863	2.28e-009	4.000769	1.260956e-007	0.00035509942269736
1.296327	4.724506e-009	4.084322	1.552414e-007	0.00039400685273228
1.320792	1.057748e-009	4.166087	1.746386e-007	0.00041789783440453
1.345256	-1.386837e-009	4.250282	1.954045e-007	0.00044204581210549
1.369721	-1.645049e-010	4.334342	2.235976e-007	0.00047286107896506
1.394186	-1.386837e-009	4.417019	2.610031e-007	0.00051088462493992
1.41865	-2.609168e-009	4.500465	2.757947e-007	0.0005251615941784
1.443115	-3.8315e-009	4.583962	3.039212e-007	0.00055129048604161
1.467579	1.057748e-009	4.666518	3.404653e-007	0.00058349404452831
1.492044	-1.645049e-010	4.750412	3.695979e-007	0.00060794563901717
1.516508	1.057748e-009	4.833863	3.981553e-007	0.00063099548334358
1.565437	2.28e-009	4.917697	4.443903e-007	0.00066662605709648
1.589902	3.502253e-009	5.000421	4.907488e-007	0.00070053465296158
1.614366	-3.8315e-009	5.083712	5.001148e-007	0.00070718795238607
1.638831	-1.386837e-009	5.167243	5.468632e-007	0.00073950199458825
1.663295	-1.645049e-010	5.250526	5.876774e-007	0.00076660120010342
1.68776	-1.386837e-009	5.333715	6.266955e-007	0.00079164101712834
1.712224	-2.609168e-009	5.416948	6.645444e-007	0.00081519592736961
1.712224	4.724506e-009	5.500705	7.202614e-007	0.00084868215487307
1.736689	2.28e-009	5.583131	7.629458e-007	0.00087346768686655
1.761153	-1.386837e-009	5.666604	8.057085e-007	0.00089761266702292
1.785618	-1.645049e-010	5.750865	8.516775e-007	0.0009228637494235
1.810082	2.28e-009	5.834457	9.055158e-007	0.00095158593936649
1.834547	-1.386837e-009	5.917545	9.43631e-007	0.00097140671193893
1.859011	-2.609168e-009	6.000753	9.950498e-007	0.00099752182933508
1.883476	3.502253e-009	6.083852	1.061046e-006	0.0010300708713482
1.90794	-2.609168e-009	6.166849	1.105073e-006	0.0010512245240671
1.932405	-1.386837e-009	6.250957	1.162138e-006	0.0010780250460912
1.956869	2.28e-009	6.334663	1.213935e-006	0.0011017871845325
