[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	square
-0.007578	-2.105855e-009	0.000499	3.584759e-009	5.9872856955385e-005
-0.02215	-2.348524e-009	-0.024649	2.222179e-009	4.7139993635978e-005
-0.048865	-1.620517e-009	-0.050301	2.151132e-009	4.638029754109e-005
-0.073152	-1.741852e-009	-0.075451	2.181634e-009	4.6707965059506e-005
-0.099867	-2.105855e-009	-0.099885	2.358842e-009	4.8567911217181e-005
-0.126582	-1.256514e-009	-0.125339	3.442976e-009	5.867687789922e-005
-0.153297	-1.741852e-009	-0.150181	1.97895e-009	4.4485390860371e-005
-0.175189	-2.348947e-009	-0.175531	-5.843381e-010	2.4173086273788e-005
-0.20187	-4.071736e-010	-0.200171	3.113675e-009	5.580031361919e-005
-0.226157	-1.863186e-009	-0.225118	7.631869e-010	2.7625837543865e-005
-0.248015	-2.105855e-009	-0.250158	-3.173032e-009	5.6329672464874e-005
-0.269925	2.141146e-009	-0.275116	-4.425063e-010	2.1035833712977e-005
-0.294159	-2.858392e-010	-0.30016	3.412665e-009	5.8418019480294e-005
-0.318446	-1.620517e-009	-0.325292	-1.795081e-009	4.2368396240594e-005
-0.34037	8.062954e-010	-0.350242	2.21704e-009	4.7085454229518e-005
-0.367019	-1.377849e-009	-0.3753	2.318431e-009	4.8150088265755e-005
-0.391381	-2.348947e-009	-0.400536	-1.511414e-009	3.8876908313291e-005
-0.418102	3.208953e-010	-0.42527	3.179477e-009	5.6386851304183e-005
-0.444736	-1.620517e-009	-0.45024	1.908109e-009	4.3681907009653e-005
-0.469023	-2.348524e-009	-0.475158	1.0671e-009	3.2666496598197e-005
-0.495834	-1.742157e-009	-0.500414	1.214024e-009	3.4842847185613e-005
-0.520125	-1.742157e-009	-0.525667	-1.318916e-009	3.6316883126171e-005
-0.546846	1.898446e-009	-0.550422	1.041825e-009	3.2277314014645e-005
-0.573566	-1.863515e-009	-0.575252	1.624362e-009	4.0303374548541e-005
-0.60017	-1.741852e-009	-0.60037	-1.050369e-009	3.24093967855e-005
-0.624457	1.048761e-009	-0.625039	-1.060549e-009	3.2566071301279e-005
-0.648744	1.994748e-010	-0.65016	2.607016e-009	5.105894632677e-005
-0.67303	-1.499183e-009	-0.675627	1.710452e-009	4.1357611149582e-005
-0.694888	-1.741852e-009	-0.700064	-1.385307e-010	1.1769906541685e-005
-0.719175	-6.498424e-010	-0.725217	3.650643e-009	6.0420551139492e-005
-0.745745	-2.348101e-009	-0.750447	2.616584e-010	1.6175858555267e-005
-0.770027	-1.498925e-009	-0.775194	2.399367e-009	4.898333390042e-005
-0.792034	-1.499183e-009	-0.799834	2.490549e-009	4.9905400509364e-005
-0.816321	-2.348524e-009	-0.825494	2.667291e-010	1.6331843129298e-005
-0.840607	-8.925112e-010	-0.850039	3.397356e-009	5.8286842426057e-005
-0.867323	-1.984521e-009	-0.875302	8.138452e-010	2.8527972237788e-005
-0.894038	-1.499183e-009	-0.900319	-1.440467e-009	3.7953484688497e-005
-0.920753	1.898046e-009	-0.924872	3.270713e-009	5.7190147752913e-005
-0.94504	-2.105855e-009	-0.95062	3.832401e-010	1.9576519098144e-005
-0.971755	-1.256514e-009	-0.975385	-1.313861e-009	3.6247220583101e-005
-0.99847	2.019373e-009	-1.000228	-2.859011e-009	5.3469720403234e-005
-1.025185	1.994748e-010	-1.025367	-2.251065e-009	4.7445389660113e-005
-1.049472	2.383353e-009	-1.050193	-1.693776e-009	4.1155509959178e-005
-1.073758	6.84781e-010	-1.075468	-2.595576e-009	5.0946795777556e-005
